Tempo (s),Distância Percorrida (m),Comprimento do Passo (m),Ângulo Joelho Esq (°),Ângulo Joelho Dir (°),Comprimento da Passada (m)
1.501500000000003,42.794934957699446,0.6758727271145257,173.82921493114415,165.65597199842938,0.0037064572354881297
1.5181833333333363,43.47118756553821,0.6762526078387593,173.22059610171837,163.26927641995584,0.012114917254717817
1.5348666666666697,44.14084718747895,0.6696596219407371,171.51294485000435,162.37913231317927,0.014584334794370808
1.551550000000003,44.78839390923284,0.647546721753892,179.27066932259098,156.63107552583375,0.009103842039307176
1.5682333333333365,45.440582681465614,0.6521887722327792,173.94774831397916,148.60488016722456,0.005272667326459955
1.5849166666666699,46.073389820232855,0.6328071387672385,166.16875680041178,149.61836132363285,0.006866172699081368
1.6016000000000032,46.24258307072154,0.16919325048868133,158.76672849763523,165.83122539519323,0.21105236247011622
1.6182833333333366,46.396438743553496,0.15385567283196244,37.23659997024048,130.95461481450994,0.030948668505108624
1.63496666666667,47.00110622701976,0.6046674834662651,176.8389848892496,149.08028935980585,0.14273799915580956
1.6516500000000034,47.034464055811625,0.033357828791865586,161.54345176346462,129.77289579722566,0.5003274789034902
1.6683333333333368,47.0518523033578,0.01738824754617097,63.22864729549338,64.05093364311267,0.3878418624378254
1.6850166666666702,47.519457857919626,0.46760555456182934,166.29877208964285,163.67355450507765,0.09734298035396952
1.7017000000000035,47.923634101263545,0.4041762433439188,156.5178177050334,164.44772932834584,0.056413841238156605
1.718383333333337,48.323705552026944,0.400071450763398,162.71218500147333,137.0985089267035,0.01628718350259964
1.7350666666666703,48.55861738291849,0.23491183089154843,151.89366019061842,152.1491298191772,0.06446698571952311
1.7517500000000037,48.779360562809394,0.22074317989089962,154.4662159110701,151.46361363365918,0.012588295007139906
1.768433333333337,48.9232493551497,0.14388879234030652,134.94226635865135,122.14878799220843,0.02533539669153473
1.7851166666666705,49.00637727264117,0.08312791749146879,152.45593993981706,121.32616357373853,0.12304372979861097
1.8018000000000038,49.05249962502663,0.046122352385458004,145.23060145827543,120.01427222384221,0.041311594781447
1.8184833333333372,49.10763766011468,0.055138035088057084,151.7364840718189,160.25952567161053,0.051838809485012516
1.8351666666666706,49.153422454748394,0.04578479463370853,168.93137684417772,166.59026754487297,0.05903418812329089
1.851850000000004,49.22299821294004,0.06957575819164977,174.7881734521111,145.7947600261388,0.10781507371775699
1.8685333333333374,49.29256274937095,0.06956453643091118,175.93779330619557,179.83960661848394,0.08085724784225229
1.8852166666666708,49.61145571053659,0.3188929611656399,131.04707406193842,154.77462168043476,0.1632053143258263
1.9019000000000041,50.13845640646354,0.5270006959269489,157.28844616802195,153.64484931243854,0.08426352752038005
1.9185833333333375,50.6813277556299,0.5428713491663585,178.09125966473948,164.87007277744905,0.030777661084667805
1.935266666666671,50.75114845278025,0.06982069715034463,173.38096519701173,165.0390930695392,0.29581108748884
1.9519500000000043,51.34859068372814,0.5974422309478898,178.24577753946903,175.99200022843237,0.2824387488546903
1.9686333333333377,51.36748846663843,0.018897782910287715,178.59893327313685,170.18856216135543,0.38847966108299964
1.985316666666671,52.041810959619454,0.6743224929810242,176.5280917868155,160.68677008119602,0.43838707634035246
2.002000000000004,52.81316548701285,0.7713545273933974,164.87415124014782,170.1895448854458,0.07632696271181182
2.0186833333333376,53.63082327638595,0.8176577893730913,158.21512356164232,167.4400794379981,0.08852599969337363
2.035366666666671,54.48095739470377,0.8501341183178259,164.6333548778337,165.95145149204134,0.023515978764720044
2.0520500000000044,55.36127268522144,0.880315290517663,173.7555990036824,176.3906477793405,0.00870533623671975
2.0687333333333378,55.37970301674699,0.01843033152554781,155.43864487348029,149.28619540849306,0.3422818003186711
2.085416666666671,56.131740769799286,0.7520377530522999,168.65121503978432,166.98175471014193,0.26439000145682157
2.1021000000000045,56.95998629811038,0.828245528311092,179.38192306295176,179.03279663317215,0.07321281662667069
2.118783333333338,57.788679080769086,0.8286927826587042,163.5525065745461,170.34922876671192,0.015058889328625986
2.1354666666666713,58.5888750021846,0.8001959214155163,154.3548944592825,148.67624482883798,0.006573040123685724
2.1521500000000047,59.38598747172719,0.7971124695425884,155.6399670040516,142.0639141258547,0.035061654563196744
2.168833333333338,60.187581738852465,0.8015942671252732,152.0889503831667,129.08663688847093,0.02692316230632039
