Tempo (s),Distância Percorrida (m),Comprimento do Passo (m),Ângulo Joelho Esq (°),Ângulo Joelho Dir (°),Comprimento da Passada (m),Largura
1.201200000000002,29.333807251119318,0.6105267389186104,178.5078545252431,156.5452497196039,0.0013451639302547716,0.08393615986307129
1.2178833333333354,29.952172033625917,0.618364782506598,176.294472624347,153.82142111618376,0.008090177783643427,0.08502828577929099
1.2345666666666688,30.579554102157644,0.6273820685317262,172.04066672248024,148.4583030122236,0.005350124470066955,0.08627715397275355
1.2512500000000022,31.21712411316154,0.637570011003896,168.52158202651663,139.82030953737896,0.005096386936972437,0.08768631735588295
1.2679333333333356,31.86447811905056,0.6473540058890204,170.67863395685728,136.12618231025075,0.002779684691552567,0.08905038150790881
1.284616666666669,32.51428174877562,0.6498036297250651,165.5978949932102,128.19944053157147,0.0016976314928114282,0.08939535331309477
1.3013000000000023,33.165845289278906,0.6515635405032838,164.8466476646871,121.90345583343702,0.005315207352455729,0.08964424887193086
1.3179833333333357,33.80057824500096,0.6347329557220598,163.03178526354463,110.12193629336825,0.01324316547850239,0.08732761261135946
1.334666666666669,34.42650951265985,0.6259312676588819,161.26301016450978,105.83852588843094,0.004535077475170706,0.08610507758790822
1.3513500000000025,35.03534939589225,0.6088398832323962,156.23130987367193,96.41249999920764,0.0072979976972855284,0.08370765203510659
1.3680333333333359,35.623314042334506,0.5879646464422609,160.78108067343857,95.37382773315808,0.00903929508764283,0.08080422553324113
1.3847166666666693,36.178312549502735,0.5549985071682262,161.81156886289503,91.77385363988374,0.01834689998592926,0.07615913388911845
1.4014000000000026,36.69760162257818,0.5192890730754519,161.24139370302342,89.03863227104581,0.0261559933998166,0.07119695762460324
1.418083333333336,37.19167085198529,0.49406922940710823,158.65272930158613,82.8586539474691,0.019128391445004944,0.067728396630973
1.4347666666666694,37.614506778668144,0.4228359266828491,149.12925339959708,78.01528626654176,0.058967320132067784,0.05797511078720985
1.4514500000000028,37.968569958475236,0.354063179807092,138.78012252340437,72.30487401836314,0.046914085899764285,0.048532880068490755
1.4681333333333362,38.27313326899212,0.30456331051688473,129.91967705499843,62.59259663963111,0.03026712867264285,0.041786778890342005
1.4848166666666696,38.53552580888764,0.26239253989552475,133.63305743783368,53.1728299714637,0.03078413204895408,0.03591239799889
1.501500000000003,38.77260746684767,0.237081657960024,152.78998550540933,48.071886775319626,0.021593620599536106,0.03238421655159482
1.5181833333333363,38.86320712652788,0.09059965968021823,139.80454753527346,52.07484342033343,0.05119956684634147,0.012189691950732755
1.5348666666666697,38.88259035511813,0.01938322859024935,129.04092391953776,62.22439694966096,0.007426808603843682,0.002462658295999529
1.551550000000003,38.91398673476277,0.03139637964463711,127.15748482838623,65.12510737449831,0.011554210502388357,0.0036252171645131358
1.5682333333333365,39.0237021464893,0.10971541172652485,138.8096810142375,68.836878578538,0.01947131189315957,0.014956703426759652
1.5849166666666699,39.20854378084812,0.18484163435881779,147.5083671253159,78.514119498239,0.025307882286364238,0.025352402170198105
1.6016000000000032,39.45703811156054,0.2484943307124258,147.2070453148092,85.61920204153827,0.03240184866621392,0.03409631030966085
1.6182833333333366,39.80713832658437,0.3501002150238316,151.0482332886683,103.46208712180119,0.054477598925381523,0.04808628123196482
1.63496666666667,40.25756687584873,0.4504285492643624,149.10872607822688,126.98061739104504,0.046718115873993896,0.06188395615096912
1.6516500000000034,40.75968241235888,0.5021155365101474,157.06575923414042,141.0453285621887,0.05641248458363239,0.06895421087163263
1.6683333333333368,41.296138899666005,0.5364564873071255,167.10028943977372,148.77479475611955,0.03737344468250023,0.07368437149909059
1.6850166666666702,41.853373254635606,0.5572343549696015,172.06760347483325,154.5241257436841,0.017797740624030587,0.07654599336319663
1.7017000000000035,42.415412665489015,0.5620394108534099,169.1781776415757,162.38039717223205,0.0058059137837078965,0.07719351729038085
1.718383333333337,42.99260230741798,0.5771896419289648,163.96216415109444,172.3176446528236,0.009671305580676377,0.07923960736796537
1.7350666666666703,43.57122062057056,0.5786183131525741,168.27364118688592,178.1275725127982,0.0037269315743524998,0.07943631119683428
1.7517500000000037,44.15322982296318,0.5820092023926298,170.64798845277352,178.38628996283646,0.0030834314138408086,0.07991600972815822
1.768433333333337,44.744529569024344,0.5912997460611626,172.17283508506867,178.4656516931663,0.008937685377717483,0.08115074007737631
1.7851166666666705,45.34121183084229,0.5966822618179467,166.1933958240752,178.7971281495404,0.016453351587686276,0.08189583276114965
1.8018000000000038,45.93341031372012,0.5921984828778228,168.6893847324764,175.0812976340202,0.00311477155280032,0.08127524987387504
1.8184833333333372,46.52106296031038,0.5876526465902672,165.86770259873018,169.3556869260726,0.004483842699698508,0.08062168210028238
1.8351666666666706,47.09999937643222,0.57893641612184,158.99894352976042,178.52160062330785,0.0036487249464997136,0.07937346585497378
1.851850000000004,47.68211016352752,0.5821107870952953,152.53116510575612,178.02005318890127,0.004277770029887645,0.07978374830911188
1.8685333333333374,48.26726473774229,0.5851545742147684,143.58954681931928,174.98301474881097,0.009590964958208648,0.08013548048863021
1.8852166666666708,48.85696740177828,0.5897026640359895,141.2051875134926,173.52789886556943,0.008102613952583328,0.08066936657233606
1.9019000000000041,49.42334672278527,0.5663793210069944,130.28427353180896,170.43346096099194,0.009436168529239711,0.0772934539718688
1.9185833333333375,49.98165022188209,0.5583034990968226,120.89705609960258,159.06032945119887,0.004386204287610834,0.0758628603558671
1.935266666666671,50.51602452965972,0.5343743077776266,110.87947156422386,147.84696534687495,0.013436863281820555,0.07249882018231686
1.9519500000000043,51.023664906054066,0.5076403763943504,105.02379020028965,142.7170634427565,0.005665275253239787,0.06870512362363806
1.9686333333333377,51.52813538966868,0.5044704836146113,98.2106156115642,137.24680322154205,0.008376593060012929,0.06814946493177151
1.985316666666671,52.00276329440839,0.4746279047397118,82.62953114793687,130.54364591775578,0.008379175322121827,0.06382344245462325
2.002000000000004,52.44305482309513,0.44029152868674437,75.87414999663973,117.11725829596642,0.010534776114269076,0.058917854469811626
2.0186833333333376,52.82985502825907,0.38680020516393665,70.27392062547351,113.76799735103596,0.01021306920709735,0.05131380592225652
2.035366666666671,53.12837751037544,0.2985224821163658,66.78631071493564,102.8340328494205,0.007301501641659341,0.03863986205387921
2.0520500000000044,53.35930151711894,0.2309240067435085,57.77764453049226,111.50209511906466,0.0035545494182484547,0.028649711964932607
2.0687333333333378,53.53369350873891,0.17439199161996224,51.43556248470433,102.87192257855527,0.003235312108606105,0.020160432632773128
2.085416666666671,53.64733095497675,0.11363744623784867,56.95552701681282,114.02279961869297,0.009479773897859341,0.011447096351398194
2.1021000000000045,53.69985609346973,0.052525138492976305,79.85071841210646,115.579538970257,0.07825879026050322,0.0006674431984544014
2.118783333333338,53.78021398189887,0.08035788842914078,86.25164430951367,128.42092635941742,0.03981357911747969,0.009345488173155274
2.1354666666666713,53.9200787287715,0.13986474687263517,95.46649927578339,125.12863363001127,0.04581336159071165,0.018356803713769285
2.1521500000000047,54.10166806788755,0.18158933911605143,90.39307231891263,133.11132539062757,0.032674004691553425,0.024317096200793305
2.168833333333338,54.363895635994886,0.2622275681073376,98.6787739461409,128.16567590759195,0.06798249300572863,0.035603085502559355
2.1855166666666714,54.69707745201815,0.33318181602326247,117.43894280220748,128.5239122697958,0.0559932595037045,0.04542739064192471
2.202200000000005,55.12158770976705,0.42451025774890094,135.1154768787876,133.6109496489153,0.07842635211331667,0.05808358634939361
2.218883333333338,55.61132096819498,0.4897332584279317,153.75860863572882,136.59638331021935,0.0511993938723591,0.06708516572087812
2.2355666666666716,56.148409925260616,0.5370889570656366,176.2627085644311,143.79123584953356,0.03720195239727773,0.07365942115621715
